column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14
Mahathir's cronies vs Najib's cronies,07/23/17,4 comments,"{Unknown} Jho Low, the 'unofficial' consultant of 1MDB, a friend of Najib's stepson.","{RD.} Salam Dato Rocky.""Then please give me the name of one Malaysian individual who deserves or qualifies to be called a crony of Najib Razak.""Answer: Razak Baginda, Deepak Carpet and Jho Low.... to name the prominent few.At least, with Dr.M's cronies such as YTL, Ananda Krishnan, Syed Mohktar Bukhary... hundreds of thousand Rakyat could earn a living and raise families, working for them. The gomen too could collect taxes in form of employees remuneration, corporate taxes and the wealth of Dr.M's cronies... eternally, as long as their companies is doing well.However, with Najib's cronies (Razak Baginda, Deepak Carpet and Jho Low)... what does the Rakyat and gomen, get in return? Lick their dick?","{Anonymous} The dedak has really damage you brain En Rocky (pun intended for your datukship is illegitimate). Najib only enrich himself, Rosmah, his family and his advisor such as jho lo, farid ridzuan, habibur rahman and few other major dedakians...Cant believe you didnt know that but dedak will do that to people","{Rockybru} Salam RD,The last line is not you, if I may just say. :-=)I knew Jho Lo's name would come u, though.. But if he was a crony of the Prime Minister, he wouldn't need to ""steal"" 1MDB's money, which is what he's been accused of, He would just need to ask the crony master what he wanted and he'd get it! No need to have trouble with the law.""... Razak Baginda and Deepak, to name the prominent few""?More like scraping the barrel! Neither Deepak nor Razak are big at all. Certainly not when you put them side by side with the names of Mahathir's so-called cronies that you have listed down (to name a few). At least you did not list ""China""n as a Najib crony because someone did!But I don't blame you, bro RD. ",,,,,,,,
"The MRT, if Pakatan came to power ...",07/18/17,5 comments,{Tanah Melayu Kini} Pembangkang malaysia..Bukan bangkang utk hidup..hidup utk bangkang..,"{Anonymous} What dr.M and anwar gave was list of highways and ipps given to their cronies..if only they build the mrt during their time i wouldn't have wasted so much time on the road. And yes..this mrt is impressive, to me it's better than hong kong and london mrt ","{NURAINA A SAMAD} sedap cakap.If something is good, give credit when and where it's due-lah.Otherwise, you are just a toxic politician. A bad one.Kalau saya MP Lembah Pantai kan, saya boleh improvekan kawasan ini, tau. ",{RD.} Salam Dato Rocky.Di kedua-dua hujung SBK ada penjara... Kajang & Sungai Buloh.,{Oldstock} Ya lah... sekali sekala saya pun setuju dengan Dato Rocky.,,,,,,,
"What's even more remarkable than Mahathir's ""remarkable political U-turn"" ...",07/08/17,4 comments,"{Anonymous} Biar lah saya zalim pada satu orang daripada saya zalim pada seluruh rakyat malaysia.Saya tidak rela negara ini mempuanyi seorang PM yang mengamalkan hubungan sejenis.Lebih kurang macam itu lah bunyi cakap Madey semasa dia memecat, menangkap, menzalimi dan mencampakanAnwar ke dalam penjara.MUDAH NYA MADEY LUPA.SAMA ADA ORANG TUA INI SUDAH NYANYUK TAHAP GABAN ATAU PUN SEMEMANG NYA DIA NI BAPA SEGALA PEMBELIT, PEMBOHONG, PENIPU DAN PENYAMUN","{RD.} Salam Dato Rocky.""This time he's said that Anwar Ibrahim (whose name, by the way, is today synonymous with sodomy because of Mahathir) ""is a victim of political vendetta"".""I'm sure... what Dr.M meant was Sodomy-II, where RM9.5 million went into Shafie's personnal bank account, although Nancy Sukri said he was only paid RM1000.I use to be against, that sodomite being PM too. But now, after 1MDB-Jho Low's shit hits the fan... I kind of, made a U-turn too... if that's what it take to rid kleptocracy. At least Anwar sodomized/fucked just a few young men and a China-doll. And they themselves, voluntarily bend-over before him. But a kleptocrat, behind our back, literally sodomize the whole Nation of 1Malaysia... even the unborn.Kleptocracy also brought about disgrace to Agama, Bangsa & Negara... Dato. Sudah la Islam dikaitkan dengan keganasan, sekarang dikaitkan pula dengan menyamun WANG Rakyat. Saya malu dikaitkan dengan Islam, Dato.",{Anonymous} Mahathir banyak sangat u-turn boleh kita nak percaya? Letak mahathir tepi baik aku ambil/undi bn/umno yg rasa aku lebih baik/banyak berjasa/boleh dipercayai kan kan kan,"{Anonymous} Everybody does a u-turn in life when there's a need for it, when the road ahead is 'blocked' or there is no other way ahead. It is the sin of a mission. Positive thinking and rightffull thinking, and not swayed by monetary gains, like some of us. ",,,,,,,,
Good news annoy some people,06/29/17,2 comments,"{Annie} Rocky,Some people may not like it that you asked all Malaysians to PRAY that the Ringgit and the economy continue to do well.They may say“Rocky urged Malaysians to pray on distress Malaysian economy. Good lord, I much prefer Rocky don’t tell me disaster is imminent.“Rocky has to give hope, and leave the rest to God and Malaysians. If Rocky is big into prayers; he should engage proper imam and priest,”",{arizmaya} https://www.bloomberg.com/quote/USDMYR:CUR,,,,,,,,,,
TTDI residents: We don't need a highway through our homes. let alone a SIX-lane highway!,06/21/17,2 comments,"{IT.Scheiss} As one who has fought against the KiDEX and PJD Link elevated highways through my neighbourhood, I am in solidarity with the residents of TTDI in opposing this highway through their neighbourhood.","{Haresh Deol} Residents in Ampang had protested against the EKVE and SUKE. Yet, both projects have started, killing trees - plenty of it - and displacing people and animals.But I'm confused.1. Federal government is spending so much on public transportation.2. Selangor government introduced Program Pengangkutan Awam Sekali Seminggu late last year.Wouldn't more highways encourage more vehicles on our roads, 'killing' any efforts to get people to use public transportation?A case of cakap tak serupa bikin?",,,,,,,,,,
DOJ-ed and Confused,06/20/17,3 comments,{Anonymous} Dumb n dumberReza ajis producer,{Anonymous} Rosmah & anaknya beli harta dari duit tabung yg mereka simpan puluhan  tahun pun orang masih tuduh mereka mencuri...tak adil dan bodoh betul rakyat malaysia ini.,{rahman} What rocky is saying is that mahathir is so great that he could instruct the DOJ to do whatever that he want,,,,,,,,,
Pujut saga continues,06/19/17,1 comment,"{shah} While the whole world is sensing something is amiss and pushing for accountability, only BN and BN is saying no wrong has been done.    1. The Guardian (UK) reported:    https://www.theguardian.com/world/2017/jun/16/leonardo-dicaprio-returns-a-picasso-as-us-investigates-1mdb-scandal    -But no, The Guardian is wrong. BN is correct.    2. The New York Times (US) reported:    https://www.nytimes.com/2017/06/16/world/asia/1mdb-malaysia-najib-razak.html     But no, The NY Times is wrong, BN is correct.    3. Reuters (UK) reported:    http://www.reuters.com/article/us-malaysia-scandal-rosmah-idUSKBN1970YK     But no, Reuters is wrong, BN is correct.    4. Al Jazeera (Qatar) reported:    http://www.aljazeera.com/news/2017/06/moves-seize-540m-malaysia-1mdb-fund-170616183309579.html     But no, AJ is wrong, BN is correct.    5. Financial Times (UK) reported:    https://www.ft.com/content/c7669654-51e8-11e7-bfb8-997009366969     But no, FT is wrong, BN is correct.    6. The Wall Street Journal (US) reported:    https://www.wsj.com/articles/u-s-targets-540-million-of-new-assets-in-1mdb-fraud-case-1497539922     But no, WSJ is wrong, BN is correct.    7. Fortune (US) reported:    http://fortune.com/2017/06/16/1mdb-leonardo-dicaprio-fund-picasso/     But no, Fortune is wrong, BN is correct.    8. CNBC (US) reported:    http://www.cnbc.com/2017/06/16/us-acts-to-seize-assets-allegedly-looted-from-malaysia-fund-1mdb.html     But no, CNBC is wrong, BN is correct.    9. The Australian (Australia) reported: http://www.theaustralian.com.au/news/world/miranda-kerrs-diamonds-hit-by-1mdb-freeze/news-story/95d648d5bbd47b0792fb22653e569fd0     But no, The Australian is wrong, BN is correct.",,,,,,,,,,,
The Pujut shocker: So now anyone - even a foreigner - can be Malaysian ADUN?,06/17/17,3 comments,"{Anonymous} Jadi apa susahnya ,sekarang peranan Jabatan Imegresen pula menghalau mereka yg tidak mempunyai kerakayatan Malaysia utk keluar dari Malaysia,biar pun beliau adalah seorang ADUN yg di benarkan oleh Mahakamah.Taraf beliau sama dgn PTI indon atau Bangla.Saya harapa kerajaan bertindak mengikut undang-undang.","{Anonymous} I think something is wrong with this judgement. Judge is not always right for he is also a human being who is open to anything negative. A foreigner should not allowed to become ADUN here because his faith to the country is questionable. Agree if citizenship of this ADUN is taken off, thus he is still not fit to be ADUN according to the constitution. The authority also should investigate further if similar thing happen to any other ADUNs and MPs. I read there's one in Perak DAP representative.",{bumi-non-malay} If a Bangla can be bumiputera ....  a right originally intended for Orang Asli can be stolen and abuse by UMNO-PAS Malay Bangsat Negara.... and Pujut Speaker and Election commission acting beyond their Jurisdiction to enforce Cowbouy IS Islam Laws.....  To hell With Malaysia System of justice and Judiciary.  Goes to Show Sultan-Agong_Govenor IS ISlam will continue to condone IS radical Islam UMNO-PAS chaotic Agenda because they thinks their few guns can control the 99% Malaysian sick of their Ongoing Felda Corruption!!,,,,,,,,,
Crying Wolf (on The Wall Street),06/16/17,6 comments,{RD.} Salam Ramadan Dato Rocky.To me... the first thing Apandi or Najib need to do... if they really wanted to show that nothing was wrong in 1MDB is to declassified all reports that have been OSAed.,"{M. Bakri Musa} Few points to bear in mind so as to enlighten your readers as well as to put things in perspective. The DOJ lawsuit is a civil - not criminal - one. The pace of all civil suits in America is glacial, meaning, it is normal for it to take years before coming to trial. For another, the suit is againts the ASSETS, not inviduals. Of course those assets belong to someone, so indirectly it is a suit against their owners.  However if there is a criminal indictment initiated during the process, then the pace would hasten quickly as there is the axiom in law that justice delayed is justice denied. The only reason DOJ can ""campor tangan"" in the matter is because those funds to buy those assets flowed through American banks. Even if Low and Aziz and MO1 could smuggle all those millions in their suitcases and diplomatic puches through the airport, they could still get into trouble.  In America, all cash transactions exceeding $10,000 must be reported to the authorities. So you cannot escape. The central crux of the matter is this:  Where did all the money to acquire those properties come from?  In case of Jho Low one could concieveably believe it was family's wealth through years of hard work by his ancestors, as he claimed. For Reza Aziz?  Wealth from his father? A nondescript Malaysian army officer? Stepfather Najib, who had been government all his adult life? Mother Rosmah is the daugheter of a village school teacher from my kampung in NS. Look at the house where she was born! No weatlh to speak of. However if you believe that some Sheik in Saudi Araba was generous to give Reza hundreds of millions for no apparent reason, as he claimed, then there is some mangrove swamps in Lumut I can sell you.That my friend is the crux of the problem. Until someone can give a better explanation, I believe the DOJ version. Everything else is spin. ","{damansaraman} Assalammualaikum DatoTidak pernah dalam sejarah kita bertindak sebacul ini. Dah lah kita dituduh bermacam-macam, kita hanya mampu berkata-kata tanpa tindakan mempertahankankan maruah. Tidak kita saman mereka. Tidak hantar nota bantahan kepada mereka. Malah tindakan paling asas iaitu memanggil Duta mereka dan melahirkan perasaan dukacita kita bila kepimpinan kita dihina oleh Jabatan Undang-Undang mereka secara fitnah. Dimanakah tahap maruah kita?Yang mempersenda serta menghina kepimpinanan bukannya orang perseorangan mereka. Yang menghina kita adalah jabatan kerajaan mereka.Atau sememangnya kita sudah menjadi sebacul ini; dan hanya mengharapkan teman sebacul kita berkata-kata mempertahankan benang basah yang sudah reput?","{saha} Mothing new?New 1MDB-linked assets acquired from stolen 1MDB funds.......    The Equanimity yacht;    2.5 million shares of Series D Preferred Stock in Palantir Technologies, a software company;    All rights and interests in the Electrum Group, an investment management company;    Rights to the film ""Dumb and Dumber"" produced by Red Granite Pictures; Rights to the film ""Daddy's Home"" produced by Red Granite Pictures; A single frame 3-sheet colour lithograph poster by German artist Heinz Schulz-Neudamm for the 1927 silent film ""Metropolis"";    All rights and interests in Fly Wheel Sports, a fitness club chain;    One 11.72-carat heart-shaped diamond;    One 8.88-carat fancy intense pink diamond pendant surrounded by 11-carat fancy intense pink diamonds;     One 18-carat white gold diamond jewellery set, including a diamond necklace, diamond earring, diamond bracelet, and diamond ring;    One pair of diamond earrings and matching diamond ring, consisting a 7.53-carat flawless type 2A diamond, a 3.05-carat flawless type 2A diamond and a 3.08-carat flawless type 2A diamond;    A painting entitled “Nature Morte au Crane de Taureau” by Pablo Picasso;    A collage entitled “Redman One” by Jean-Michel Basquiat;    A photograph entitled “Boy with the Toy Hand Grenade” by Diane Arbus.","{Anonymous} Datuk Rocky,I wish you will post my comments.1. If they have nothing to hide, Why don't Jho low allow himself to be questioned by cops here and elswhere?2. Have you read the report? Ramadhan month , don't lie.3. Why don't MO1 and Wife sue DOJ? Serious allegations been made. Need to clean oneself.",{eri} morning rd...u ada kucing tak??if got wait till ur cat grows horn...lebih kurang macam tu la sikit-sikit...,,,,,,
From trains to toilets ... Malaysia has no maintenance culture?,06/14/17,6 comments,{Anonymous} That's because 68% of Malaysians are monkeys that belong in the jungle. Why are you supposed?,"{NURAINA A SAMAD} 2017 -- nothing has quite changed. what would it take for the stakeholders to raise their maintenance standards if there is a standard at all, Is it a Malaysian thing? Don't blame the public. If the toilets and utilities are not well-maintained  -- they will only get worse.I remember the toilets at Subang international airport those days to be so poorly maintained .... and now KLIA. Unacceptab;e. Tak mall, ke?","{IT.Scheiss} Bro, don't get me going on the lack of maintenance culture or I won't be able to stop.The last time I was at KLIA, a couple or so months back, I did notice a marked decline in the standard of maintenance of the toilets.",{Anonymous} Can't understand how MAHB mgmt can allow such thing to happen without feeling embarassed or angry with the staf or supervisors.,"{xnakdedak} No maintenance culture?Not true!The United States Department of Justice (DOJ) may have finally shed light on what happened to the US$620 million that “Malaysian Official 1” (MO1) had returned to his ""donor"".In a latest civil forfeiture suit filing, the DOJ alleged that at least US$27.3 million was used to buy a 22-carat pink diamond pendant and necklace for “MO1's wife.”On June 2013, two months before the sum was returned, the DOJ said Low had contacted jeweller Lorraine Schwartz, asking urgently for a diamond necklace with a ""18 carrot (sic) pink heart diamond"".The next month, Schwartz travelled to Monaco with a 22-carat pink diamond, to meet Low as well as then Aabar chief executive officer Mohamed Ahmed Badawy Al-Husseiny aboard a yacht.Also on board the yacht were the wife of MO1, and her friend - dubbed by the DOJ as ""Malaysian Friend"".On the yacht, the group purportedly discussed the design of the necklace which would hold the pink diamond.According to the DOJ, Schwartz's next encounter with MO1's wife was in New York on Sept 28 to show a layout of the necklace's design.Najib and his wife Rosmah Mansor were in New York at the time for the UN general assembly. Najib addressed the assembly on Sept 28.Besides the US$27.3 million pink diamond necklace, the DOJ also accused Low of purchasing 27 different 18-carat gold necklaces and bracelets for MO1's wife, worth a total of US$1.3 million.Well maintained, I'd say.Too well.",{Anonymous} i guess the rest of  percentage malaysians are pigs...that shud just poop n piee in the longkangs,,,,,,
